CustomerID,Lookalikes
C0001,"[('C0120', 0.9999999863980915), ('C0102', 0.9999999700909558), ('C0148', 0.9999999478203022)]"
C0002,"[('C0134', 0.9999997912480557), ('C0034', 0.9999997672841638), ('C0088', 0.999999760408134)]"
C0003,"[('C0031', 0.9999999713493514), ('C0025', 0.999999925816807), ('C0076', 0.9999999071299613)]"
C0004,"[('C0169', 0.9999999920536283), ('C0165', 0.9999999829067344), ('C0174', 0.9999999640924689)]"
C0005,"[('C0146', 0.9999999352827816), ('C0007', 0.9999999313607857), ('C0028', 0.9999998779556712)]"
C0006,"[('C0126', 0.9999999996538319), ('C0171', 0.9999999952750893), ('C0118', 0.9999999943624589)]"
C0007,"[('C0146', 0.9999999999389617), ('C0005', 0.9999999313607857), ('C0054', 0.9999999239641311)]"
C0008,"[('C0160', 0.9999999833233437), ('C0038', 0.9999999717420458), ('C0113', 0.9999999445815714)]"
C0009,"[('C0198', 0.9999999901629573), ('C0061', 0.9999994344155441), ('C0103', 0.9999993699209405)]"
C0010,"[('C0049', 0.9999996628853765), ('C0091', 0.999999371886926), ('C0111', 0.9999993641615729)]"
C0011,"[('C0153', 0.9999999919473085), ('C0137', 0.9999999819618061), ('C0191', 0.9999999788065334)]"
C0012,"[('C0065', 0.9999999654452421), ('C0153', 0.9999999581212303), ('C0102', 0.9999999465001633)]"
C0013,"[('C0099', 0.9999999915861797), ('C0082', 0.9999999760965561), ('C0188', 0.9999999747984436)]"
C0014,"[('C0010', 0.9999913883236659), ('C0119', 0.9999913117105527), ('C0172', 0.9999912929985303)]"
C0015,"[('C0131', 0.9999998672884234), ('C0125', 0.9999997171942063), ('C0139', 0.9999996457655895)]"
C0016,"[('C0042', 0.9999999714982044), ('C0141', 0.9999999474611713), ('C0040', 0.9999999330320105)]"
C0017,"[('C0165', 0.9999999633900585), ('C0169', 0.9999999534774022), ('C0004', 0.9999999526752232)]"
C0018,"[('C0024', 0.9999999909889686), ('C0156', 0.9999999892241446), ('C0194', 0.9999999869255106)]"
C0019,"[('C0073', 0.9999999831457472), ('C0075', 0.999999887829359), ('C0147', 0.9999997904647168)]"
C0020,"[('C0026', 0.99999934794154), ('C0035', 0.9999993258744518), ('C0154', 0.9999992973954278)]"
